sentence,label
so Migrate the payment gateway by tomorrow,1
so Please Improve the notification service as soon as possible,1
so This decision is still pending.,0
so Sakshi mentioned the login bug yesterday.,0
We need to Patch the UI components before next release,1
um Nothing actionable at the moment.,0
uh Please Add the monitoring dashboard by Friday,1
um Can someone Configure user authentication?,1
um Configure the analytics API needs to be done by Friday,1
so Write database performance for the next sprint,1
um The database performance improved yesterday.,0
so Let's Improve the recommendation engine as soon as possible,1
Let's Implement database performance before next release,1
so Create the analytics API urgently please,1
um Someone updated the payment gateway earlier.,0
so This requires additional approval.,0
like Let's Implement the monitoring dashboard due this week,1
like We will discuss this again tomorrow.,0
so Let’s wait for stakeholder feedback.,0
um We should wait for product input.,0
Please Patch the monitoring dashboard by tomorrow,1
uh Let's Add logging system as soon as possible,1
like Nothing actionable at the moment.,0
like This is still under review.,0
uh Please Resolve unit tests before next release,1
so Someone should Refactor data migration script as soon as possible,1
like Integrate the notification service due this week,1
uh This is still under review.,0
like We need to Design data migration script urgently,1
uh Can someone Patch the search indexing logic as soon as possible?,1
uh Someone updated the payment gateway earlier.,0
so Design database performance by Friday please,1
uh Someone updated the payment gateway earlier.,0
uh Can someone Improve the recommendation engine as soon as possible?,1
like Someone should Develop user authentication,1
so We reviewed the API documentation last week.,0
so Let's Update the login bug by tomorrow,1
um This is still under review.,0
like We should Design logging system urgently,1
so We will discuss this again tomorrow.,0
uh Optimize the search indexing logic please,1
uh We will revisit this topic later.,0
uh There is no blocker right now.,0
uh Build the payment gateway before next release,1
uh We can postpone this to next sprint.,0
Optimize the payment gateway by Friday,1
uh Please Build the UI components,1
This is still under review.,0
um Optimize onboarding screen as soon as possible please,1
uh It would be good to Optimize onboarding screen due this week,1
so It would be good to Optimize database performance by Friday,1
uh Someone should Create the login bug due this week,1
um It would be good to Develop user authentication urgently,1
uh We will discuss this again tomorrow.,0
like There is no blocker right now.,0
like We need more information before proceeding.,0
Someone updated the payment gateway earlier.,0
um Debug the caching layer needs to be done due this week,1
um This will be discussed next week.,0
so It would be good to Design the recommendation engine by tomorrow,1
like This requires additional approval.,0
uh This will be discussed next week.,0
Enhance the caching layer needs to be done by Friday,1
We should analyze this further.,0
so We will revisit this topic later.,0
so Can someone Patch the payment gateway due this week?,1
um We need to Optimize the analytics API by Friday,1
like Write unit tests before next release please,1
It would be good to Create the payment gateway due this week,1
Let’s wait for stakeholder feedback.,0
um The database performance improved yesterday.,0
uh Arjun designed the onboarding screens last month.,0
so Design logging system due this week please,1
uh Please Fix logging system,1
so We should wait for product input.,0
so This depends on future planning.,0
uh We should analyze this further.,0
uh Let's Design the notification service urgently,1
so It would be good to Develop API documentation by Friday,1
so Design onboarding screen needs to be done before next release,1
so Let's Design the recommendation engine for the next sprint,1
Please Write user authentication due this week,1
uh Improve user authentication as soon as possible,1
like Design the notification service by Friday,1
um Add the search indexing logic,1
so The team optimized the caching layer before.,0
like We need to Implement the caching layer by tomorrow,1
Can someone Configure the mobile layout urgently?,1
We should Implement the caching layer,1
uh Sakshi mentioned the login bug yesterday.,0
uh Integrate unit tests needs to be done by tomorrow,1
uh We will discuss this again tomorrow.,0
so We should Create the UI components due this week,1
uh This is still under review.,0
like Please Optimize the payment gateway due this week,1
uh Please Debug onboarding screen due this week,1
um We need to Integrate the monitoring dashboard due this week,1
like Someone should Design the notification service as soon as possible,1
It would be good to Patch the UI components as soon as possible,1
so It would be good to Configure unit tests for the next sprint,1
like We should Refactor the mobile layout urgently,1
um Debug user authentication needs to be done urgently,1
uh Someone should Patch onboarding screen before next release,1
so The database performance improved yesterday.,0
uh Let's Write the login bug due this week,1
uh This depends on future planning.,0
uh It would be good to Configure the monitoring dashboard as soon as possible,1
um We need to Enhance the payment gateway due this week,1
um This requires additional approval.,0
uh There is no blocker right now.,0
uh We should wait for product input.,0
um Create the payment gateway urgently please,1
This requires additional approval.,0
um Let's Enhance API documentation,1
so We can postpone this to next sprint.,0
so We need to Refactor database performance urgently,1
so Refactor onboarding screen before next release,1
um Implement user authentication please,1
like We will revisit this topic later.,0
Nothing actionable at the moment.,0
um We will discuss this again tomorrow.,0
like It would be good to Fix the analytics API as soon as possible,1
We should Configure the search indexing logic as soon as possible,1
Migrate unit tests as soon as possible,1
We need more information before proceeding.,0
uh Can someone Configure the notification service for the next sprint?,1
so The team optimized the caching layer before.,0
so Let's Update the monitoring dashboard before next release,1
um We should collect more data first.,0
like It would be good to Migrate data migration script before next release,1
um We should Write the analytics API for the next sprint,1
uh Please Develop user authentication by tomorrow,1
um This decision is still pending.,0
um Fix logging system needs to be done due this week,1
uh We need to Refactor the search indexing logic as soon as possible,1
